Cluster,Date,Year,Teamleader,LULC,Subtype,Scientific_name,DBH,bole_height,total_height,crown_diameter,tree_condition_label,Stump
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,18.4,6,10,2,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,27,8,10,2,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,11,1.9,6,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,14.4,7,9,0,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,14,7,9,0,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cola gigantea,20,4.5,11.5,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,19,,0.9,,,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus exasperata,15.4,4.5,10,4,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia coriaria,38,6,18,12,Declining health,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Alangium chinense,29,10,19,12,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,,16,,2,,,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia zygia,63,5,15,20,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,23,10,14,3,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,21.8,6,9,2,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus sur,18,4,11,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus sur,18.7,3.5,12,3,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cassine aethiopica,10,3,7,1,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,24,4.5,11,1,Dead,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus exasperata,29,2.5,18,9,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus exasperata,22,2,10,8,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus exasperata,26,2.5,10,4,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,10,4,7,1,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,33,8,12,1,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,12,2.5,6,0.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,10,4,6.5,2,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia zygia,57,5,20,22,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,15,1.3,7.5,2,Declining health,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Spathodea campanulata,18.4,2.5,6.5,4,Declining health,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,19.2,2,7,3.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,15,2.5,6.5,4,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,16,1.4,6.5,4.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Markhamia lutea,28,4,10,2.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Ficus exasperata,11.1,4.5,6.5,3,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,15,2,8.5,4,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Spathodea campanulata,19,4,7,2.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,19,6.5,7,2.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,21.4,6.5,10,2,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,14,4.5,6.5,0.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Spathodea campanulata,20,1.8,2.5,0.5,Declining health,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,11,1.8,5,4.5,Healthy,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cordia africana,29.2,1.9,11,4.5,Declining health,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Cordia africana,23,2,6,2.5,Declining health,No
SU2,13/02/2004,2018,Mr. X,Tropical High Forest,Dry Normal Land,Tabernaemontana holstii,28.4,4.5,9.5,3.5,Healthy,No
SU3,8/12/2018,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,13.2,7.5,11,2,Unhealthy,No
SU3,8/12/2018,2018,Mr. X,Tropical High Forest,Dry Normal Land,Antiaris africana,14,6.5,8,2,Healthy,No
SU3,8/12/2018,2018,Mr. X,Tropical High Forest,Dry Normal Land,Albizia zygia,26.3,12,17,3,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Erythrina abyssinica,20.7,2,5.5,2,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Erythrina abyssinica,12,1.3,2.3,0.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Erythrina abyssinica,12.2,1.4,2.5,1,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Erythrina abyssinica,15.7,1.8,3,2.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Thevetia peruviana,5.1,2,3.5,1,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Thevetia peruviana,4.7,1.4,2,0.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Thevetia peruviana,4.3,1.9,3.5,2,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Coffea canephora,7.3,1.8,4.5,2.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,24,1.3,4.5,3.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Mangifera indica,4,1.4,2.5,1,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Vernonia amagyadalena,5.5,1.5,2.5,1.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,8,1.4,2.5,1,Healthy,No
SU3,10/12/2018,2019,Mr. X,Crops,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU3,10/12/2018,2020,Mr. X,Crops,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU3,10/12/2018,2021,Mr. X,Crops,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU3,10/12/2018,2022,Mr. X,Crops,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU3,10/12/2018,2023,Mr. X,Crops,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU3,10/12/2018,2024,Mr. X,Crops,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,4.6,1.6,2.5,0.5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,7,1.8,2.5,1,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,7.3,1.3,3,2,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Harungana madagascariensis,5,1.5,2.5,1,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Harungana madagascariensis,6,1.4,2.5,2,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,15,1.3,2.5,2,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Entada abyssinica,11,1.8,2.5,3,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Mangifera indica,6,1.5,12,10,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Albizia zygia,26.8,4,10,5,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Albizia zygia,25.3,2,9.5,4,Healthy,No
SU3,10/12/2018,2018,Mr. X,Crops,Dry Normal Land,Albizia zygia,22,2.2,8,5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Cassine aethiopica,3.4,1.9,4.5,2.5,Declining health,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Acacia hockii,6.7,2.5,2.8,0.5,Dead,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Cassine aethiopica,3,1.8,4,0.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Teclea nobilis,7.8,3,6.5,3,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,9.1,3,6.5,2,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,9,,0.2,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,17.8,1.6,7.5,3,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,27.8,3,8.5,6.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,29.2,4,8.5,7,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Combretum molle,13.4,3.5,7.5,3,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Teclea nobilis,15.6,1.4,6,3,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,19,2,7,6.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,13.4,4.5,6,2,Declining health,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Combretum molle,11.5,3.5,4.5,1.5,Declining health,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,17.3,,1,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Sterculia setigera,13.3,3,6.5,1,Unhealthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Sterculia setigera,22.1,2,7,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Lannea barteri,19.5,3,7,4.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Cassine aethiopica,13.7,2.5,8,6,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,15.8,3,7,5.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,29.6,,0.15,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,27.2,,0.2,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,21.3,,0.25,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Terminalia ivorensis,31.7,11,17,9,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Combretum molle,30.3,,1.5,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,28.1,,0.25,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,13.3,3.5,7,5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,10.6,3,7,4,Healthy,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Erythrococca bongensis,13.2,,0.3,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Terminalia ivorensis,26.2,,0.6,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Teclea nobilis,24.6,,0.4,,,No
SU4,8/12/2018,2018,Mr. X,Woodlands,Dry Normal Land,Sterculia setigera,22.2,6.5,9,6.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Crops,Dry Normal Land,Cassine aethiopica,8.9,2,5.5,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Crops,Dry Normal Land,Lannea sp.,42.8,2.5,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Crops,Dry Normal Land,Lannea sp.,43.7,,1.8,,,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,,17.3,,0.45,,,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum collinum,4.6,1.3,4,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum collinum,4.1,2.5,4,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum collinum,3.2,1.4,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum collinum,3.1,2,3.5,0.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Grewia mollis,3.3,1.7,3,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Grewia mollis,3.4,1.9,3,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Grewia mollis,3.2,2,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Grewia mollis,4.2,1.6,3.5,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Terminalia ivorensis,3.1,1.8,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Terminalia ivorensis,3.1,1.3,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum collinum,3.2,1.6,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Grewia bicolor,4.2,4,5.5,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Grewia bicolor,9.5,1.4,5,4,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,3.3,2.2,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,4.1,2.5,4.5,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,4,2,4,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum molle,3.3,1.4,2.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum molle,4,1.4,2.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum collinum,4.2,3,4,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,4,1.3,4,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,3.2,2,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,3.5,1.8,3.5,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Allophylus africanus,3.4,1.8,3.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Rhus vulgaris,4,1.5,4,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Rhus vulgaris,4,1.5,3.5,2,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Acacia hockii,3.5,2.5,4,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Acacia hockii,3.9,1.4,4,1.5,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Annona senegalensis,4,1.3,2.5,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Acacia hockii,3.4,1.5,3,1,Healthy,No
SU4,8/12/2018,2018,Mr. X,Bush,Seasonally Wet,Combretum molle,26,,0.35,,,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Ozoroa insignis,32,1.7,6,4.5,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Acacia polyacantha,3.4,1.3,2.5,2,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Acacia polyacantha,3.1,1.5,2.5,1.5,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Acacia polyacantha,5.7,1.3,3,3,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Acacia polyacantha,3,1.4,3,1.5,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Flueggea virosa,5.7,1.5,4,2,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Flueggea virosa,3.8,1.5,4.5,2.5,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Flueggea virosa,3.7,1.7,4,2,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Flueggea virosa,3.7,2,4,2.5,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Rhus vulgaris,5.5,1.7,4.5,3,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Rhus vulgaris,3.3,2.3,4,2,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Harrisonia abysinica,3.4,1.5,4,2,Declining health,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Grewia bicolor,3.1,1.6,4,1,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Ozoroa insignis,13.1,,1.4,,,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Albizia zygia,9.4,1.7,6,6,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Ozoroa insignis,3.6,2,4,0.5,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Ozoroa insignis,39.6,1.7,8,6,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Rhus vulgaris,5,1.8,4,3,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Rhus vulgaris,5,1.6,4,3.5,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Combretum molle,3.2,2,4,1,Healthy,No
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,NA,NA,NA,NA,NA,NA,Yes
SU5,10/12/2018,2018,Mr. X,Grassland,Dry Normal Land,Terminalia ivorensis,7.1,2,5,4,Healthy,No
